,med.train_20.csv
0,0.23969530807775496
1,0.32187632605510996
2,0.24526279899029968
3,0.28326577226131056
4,
5,0.24471382194023372
6,0.3811668310594303
7,0.3236378445172069
8,0.3662804947554851
9,0.2981375381875039
10,0.2573433313808916
11,0.25675868586278905
12,0.2684581858630579
13,0.23231678593858562
14,0.39305796781931135
15,0.19195374812964894
16,0.33098563332809217
17,0.2545551374229468
18,0.20480185607938672
19,0.2909443083195843
20,0.2608494064776705
21,0.22529412879435295
22,0.2846191095105258
23,0.2935031770652432
24,0.2140760792444646
25,0.26234055661973976
26,0.26645433154810505
27,0.26307881411652
28,0.18260970059380877
29,0.1441158297252929
30,0.34052734415821373
31,0.24703494953101945
32,0.2700289533459792
33,0.19976767129909956
34,0.26302136532469256
35,0.23636354833032824
36,0.37526712961025277
37,0.4583624512428762
38,0.17001032020222195
39,0.2519421681671007
40,0.20746041150054806
41,0.1872134137051139
42,0.386058078316144
43,0.3292611947604407
44,0.19656288787446496
45,0.3053227524915949
46,0.3288878382235618
47,0.3871408674062089
48,0.19804581638229546
49,0.22443632968062444
50,0.38844672227173305
51,0.29098026332484994
52,0.29288817891888197
53,0.2919932750681524
54,0.2834810558675632
55,0.25006159982181586
56,0.19769829961453722
57,0.05608260298433876
58,0.4106002720637413
59,0.19538966901701682
60,0.32376447569772737
61,0.19964988972587183
62,0.3165736450610279
63,
64,0.23095058766932786
65,0.2404292532214124
66,0.255908151421566
67,0.43419502278890376
68,0.24418655828371327
69,0.21100487686935343
70,0.17933430665055494
71,0.22035444126478598
72,0.31542904375207537
73,0.27390355642586584
74,0.23505754962887948
75,0.22156112062487832
76,0.2416019072221075
77,0.26750604124994914
78,0.32326193700190275
79,
80,0.23400749201506854
81,0.2928140398156175
82,0.28199352070790196
83,0.3023740581681169
84,0.20074602916056328
85,0.287549589074524
86,0.21465432949713747
87,0.31991349842088546
88,0.22846135796437606
89,0.22062024622447163
90,0.23278740934956943
91,0.27486093779415566
92,0.2555271920575086
93,0.3455622629490326
94,0.40190127862256053
95,0.2341281388644687
96,0.2989902162626972
97,0.4696084630338062
98,
99,0.1684080383233194
100,0.29101418389194544
101,0.24525575099490438
102,0.30724672010162113
103,0.22325513718737122
104,0.29913395053897296
105,0.2951130152202621
106,0.2967213882120595
107,0.14177331295770923
108,0.26571485508530657
109,0.35176346737363784
110,
111,0.3257174471339658
112,0.1671661423191525
113,0.34638449944256133
114,0.2325317358539467
115,0.26853760961296114
116,0.27273880162564057
117,0.6035698133314265
118,0.34869838188763236
119,0.27066944250675085
120,0.2789224434024865
121,0.35838965436697967
122,0.2943801980518359
123,0.22236523527494922
124,0.2163497585762617
125,0.2561800896309311
126,0.23473857230087414
127,0.21528893322018505
128,0.2670322490252426
129,0.26558287125662094
130,0.2310125104449826
